date,price
12/6/2019,66.602074
12/9/2019,65.66964
12/10/2019,66.053436
12/11/2019,66.616837
12/12/2019,66.786583
12/13/2019,67.694435
12/16/2019,68.853218
12/17/2019,68.988533
12/18/2019,68.823685
12/19/2019,68.892578
12/20/2019,68.749893
12/23/2019,69.871788
12/24/2019,69.938217
12/26/2019,71.325806
12/27/2019,71.298729
12/30/2019,71.721893
12/31/2019,72.245934
1/2/2020,73.894325
1/3/2020,73.175926
1/6/2020,73.759003
1/7/2020,73.412109
1/8/2020,74.593033
1/9/2020,76.17746
1/10/2020,76.34967
1/13/2020,77.980843
1/14/2020,76.927841
1/15/2020,76.598175
1/16/2020,77.557663
1/17/2020,78.416313
1/21/2020,77.884895
1/22/2020,78.162903
1/23/2020,78.539307
1/24/2020,78.312973
1/27/2020,76.010155
1/28/2020,78.160439
1/29/2020,79.796516
1/30/2020,79.680885
1/31/2020,76.147934
2/3/2020,75.938812
2/4/2020,78.445831
2/5/2020,79.08551
2/6/2020,80.010559
2/7/2020,78.923004
2/10/2020,79.297859
2/11/2020,78.819427
2/12/2020,80.691208
2/13/2020,80.1166
2/14/2020,80.13633
2/18/2020,78.669006
2/19/2020,79.808334
2/20/2020,78.989594
2/21/2020,77.201668
2/24/2020,73.534546
2/25/2020,71.04377
2/26/2020,72.170792
2/27/2020,67.453117
2/28/2020,67.413643
3/2/2020,73.689919
3/3/2020,71.349571
3/4/2020,74.659096
3/5/2020,72.237381
3/6/2020,71.278038
3/9/2020,65.640533
3/10/2020,70.368057
3/11/2020,67.924133
3/12/2020,61.21632
3/13/2020,68.550545
3/16/2020,59.731716
3/17/2020,62.358128
3/18/2020,60.831608
3/19/2020,60.365505
3/20/2020,56.533176
3/23/2020,55.332172
3/24/2020,60.883385
3/25/2020,60.548
3/26/2020,63.73423
3/27/2020,61.095486
3/30/2020,62.839012
3/31/2020,62.710785
4/1/2020,59.411121
4/2/2020,60.4025
4/3/2020,59.534431
4/6/2020,64.728058
4/7/2020,63.978363
4/8/2020,65.615868
4/9/2020,66.089348
4/13/2020,67.386543
4/14/2020,70.789757
4/15/2020,70.143654
4/16/2020,70.700996
4/17/2020,69.741669
4/20/2020,68.29406
4/21/2020,66.183075
4/22/2020,68.089378
4/23/2020,67.8255
4/24/2020,69.7836
4/27/2020,69.832909
4/28/2020,68.700966
4/29/2020,70.957458
4/30/2020,72.454391
5/1/2020,71.287933
